id,dirreccion,barrio,comuna,geometry
197,Cabildo Av. 2835,Belgrano,Comuna 13,POINT (-58.461853610403885 -34.555971517577554)
198,Rondeau 2847,Parque Patricios,Comuna 4,POINT (-58.40337714898984 -34.63532427175674)
199,"Mitre, Bartolome 2875",Balvanera,Comuna 3,POINT (-58.40648117382264 -34.608953930264875)
200,Dorrego Av. 2600,Palermo,Comuna 14,POINT (-58.43445170048396 -34.574456418039524)
201,San Juan Av. 2926,San Cristobal,Comuna 3,POINT (-58.40621607165322 -34.624353589985226)
202,Beruti 2951,Recoleta,Comuna 2,POINT (-58.405834336472914 -34.58998762453915)
203,"Alsina, Adolfo 2988",Balvanera,Comuna 3,POINT (-58.40832679465525 -34.61261861245998)
204,"Jaures, Jean 1000",Balvanera,Comuna 3,POINT (-58.406712172270936 -34.59811849149823)
205,Beruti 2500,Recoleta,Comuna 2,POINT (-58.401408999169306 -34.59260535268712)
206,"Alsina, Adolfo 211",Monserrat,Comuna 1,POINT (-58.36977263226288 -34.60995831201029)
207,La Pampa 600,Belgrano,Comuna 13,POINT (-58.43455003047938 -34.553069082005216)
208,"Acevedo, Eduardo 600",Caballito,Comuna 6,POINT (-58.43294937485399 -34.60884903227409)
209,Pilar 900,Liniers,Comuna 9,POINT (-58.516406188494415 -34.648793184970685)
210,Campana 4600,Villa Devoto,Comuna 11,POINT (-58.50668978535298 -34.59045540301906)
211,Junin 1600,Recoleta,Comuna 2,POINT (-58.39408675689257 -34.59011300297169)
212,Corrientes Av. 6892,Chacarita,Comuna 15,POINT (-58.45498189449644 -34.58736141459823)
213,Cordoba Av. 1200,San Nicolas,Comuna 1,POINT (-58.383921508131095 -34.59923287978565)
214,"Obligado Rafael, Av.Costanera 1500",Palermo,Comuna 14,POINT (-58.40011881536446 -34.569357750458)
215,Belgrano Av. y Azopardo,Monserrat,Comuna 1,POINT (-58.36797453678788 -34.61221605945755)
216,Corrientes Av. 314,San Nicolas,Comuna 1,POINT (-58.37159017602721 -34.60316679926773)
217,"Figueroa, D. Apolinario, Coronel 370",Villa Crespo,Comuna 15,POINT (-58.44606365032226 -34.60471592906266)
218,Cabildo Av. 3208,Nuñez,Comuna 13,POINT (-58.46535213704162 -34.55272185521905)
219,Monroe Av. 3238,Belgrano,Comuna 13,POINT (-58.46789489790507 -34.56332123836397)
220,"Chutro, Pedro, Prof., Dr. 3350",Parque Patricios,Comuna 4,POINT (-58.41058562273644 -34.6429404542078)
221,Quevedo 3397,Villa Devoto,Comuna 11,POINT (-58.51831144257114 -34.61158555545749)
222,Gaona Av. 3429,Villa Santa Rita,Comuna 11,POINT (-58.47340796418416 -34.61998815534105)
223,"Garay, Juan De Av. 1100",Constitucion,Comuna 1,POINT (-58.38017111366586 -34.62635888911354)
224,Miranda 4400,Monte Castro,Comuna 10,POINT (-58.499253942138616 -34.61881172946592)
225,Perdriel 36,Barracas,Comuna 4,POINT (-58.38811040652051 -34.63460305629428)
226,"Vega, Ventura De La 3723",Nueva Pompeya,Comuna 4,POINT (-58.41191577690969 -34.6529732327712)
227,Cadiz 3727,Parque Chas,Comuna 15,POINT (-58.474682085836854 -34.58139338637846)
228,Moreno 800,Monserrat,Comuna 1,POINT (-58.377514402255066 -34.61167079756783)
229,"Goyena, Pedro Av. 381",Caballito,Comuna 6,POINT (-58.4322278574973 -34.62557214710821)
230,"Calvo, Carlos 383",San Telmo,Comuna 1,POINT (-58.37123550023653 -34.61944480588541)
231,Independencia Av. 3897,Almagro,Comuna 5,POINT (-58.42037428094237 -34.62116995637654)
232,"Paz, Gral. Av. 10600",Liniers,Comuna 9,POINT (-58.5290364138796 -34.63876727612159)
233,San Martin De Tours 3000,Palermo,Comuna 14,POINT (-58.4035680818785 -34.57765057793121)
234,"Figueroa Alcorta, Pres. Av. 7500",Belgrano,Comuna 13,POINT (-58.44795608445776 -34.54699749961856)
235,Echeverria 2300,Belgrano,Comuna 13,POINT (-58.4547433913447 -34.562380839729514)
236,"Bullrich, Int. Av. 400",Palermo,Comuna 14,POINT (-58.4255873702837 -34.57574405948038)
237,Acassuso 6419,Liniers,Comuna 9,POINT (-58.51408309896974 -34.648747427166654)
238,Azcuenaga 2000,Recoleta,Comuna 2,POINT (-58.39453052993478 -34.58686039647189)
239,Cordoba Av. 4050,Villa Crespo,Comuna 15,POINT (-58.42420461158901 -34.59743749334602)
240,Potosi 4097,Almagro,Comuna 5,POINT (-58.42444938361702 -34.60721593813521)
241,Cordoba Av. 4142,Villa Crespo,Comuna 15,POINT (-58.4253702651075 -34.59695513888941)
